,법정동,거래가,거래횟수
183,압구정동,3152.519271411397,150
184,양재동,1318.9560402527893,50
185,양평동1가,1274.1713551319667,10
186,양평동2가,1273.8728287861707,30
187,양평동3가,1346.6257294965715,70
188,양평동4가,1123.26697297705,43
189,양평동5가,1448.2859691089466,52
190,양평동6가,1093.214439315268,21
191,여의도동,1795.2790040914656,204
192,역삼동,1902.0639020266333,274
193,역촌동,664.5484869534496,93
194,연건동,1170.0039261876718,3
195,연남동,1051.0636521744623,40
196,연희동,997.1331909596793,95
197,염리동,1695.3917073067282,77
198,염창동,1281.6184523957975,367
199,영등포동,1519.632869814345,65
200,영등포동1가,956.7975728638175,70
201,영등포동2가,1049.2196701555558,13
202,영등포동3가,860.310421286031,10
203,영등포동4가,1169.0082644628098,10
204,영등포동5가,1013.398075086695,3
205,영등포동7가,1558.7433502172719,83
206,영등포동8가,1377.9736729557005,40
207,영천동,1230.30092917921,20
208,오금동,1584.441063013975,133
209,오류동,745.0699641552507,426
210,옥수동,1991.9515496763968,179
211,옥인동,839.9964064324859,1
212,온수동,995.9840628286262,51
213,용강동,2013.4774082624015,30
214,용답동,1061.2925627452757,14
215,용두동,1274.2070096107982,125
216,용문동,1490.8789209848019,7
217,용산동2가,949.6284062758051,2
218,용산동5가,2148.8811523124186,31
219,우면동,1636.6409696730836,160
220,우이동,631.332757581454,25
221,원효로1가,1479.6946486148822,17
222,원효로2가,745.5591693770328,1
223,원효로4가,1822.1540129990437,48
224,월계동,1094.8685188442437,616
225,율현동,1998.9787459556605,5
226,응봉동,1582.4742496220183,103
227,응암동,1114.3896902242902,328
228,이문동,1164.176801507046,159
229,이촌동,2102.7616005260516,302
230,이태원동,1457.0563786730581,27
231,이화동,562.6628760957119,1
232,익선동,693.140263119259,19
233,인동,1101.2434408165866,13
234,인의동,1004.6171103264759,6
235,일원동,2637.3549668476367,103
236,자곡동,1331.6431847775618,390
237,자양동,1554.0575209417545,262
238,잠실동,2839.7222510897277,322
239,잠원동,2892.1524952206423,385
240,장동,1316.2019582959495,55
241,장안동,1001.0047575725544,410
242,장위동,1235.191220000326,123
243,장지동,1978.7945489363156,156
244,전농동,1382.4982314380552,172
245,정동,980.1521402237937,23
246,정릉동,955.7493528067113,493
247,제기동,1037.4065440623533,73
248,종암동,1202.9898745867247,204
249,중계동,1169.513372411908,811
250,중곡동,897.3239584012367,57
251,중동,1197.469712509381,47
252,중화동,980.5936634128954,110
253,증산동,996.2473023130325,46
254,지로5가,861.399899269793,2
255,진관동,1141.2375771875725,315
256,창동,1115.2601932094833,708
257,창신동,1081.2951836823995,80
258,창전동,1578.9447033629958,77
259,창천동,1005.9271130136109,19
260,천연동,1503.7723806944878,43
261,천왕동,1077.250198604056,43
262,천호동,1257.4605363094615,350
263,청담동,2333.847481991833,125
264,청량리동,1151.5244232347018,62
265,청암동,1237.700033660352,5
266,청운동,1001.849568434032,1
267,청파동3가,700.6925547201329,2
268,충동1가,1288.5016566449872,1
269,충동2가,350.9122919334187,4
270,충신동,663.7612975725407,3
271,충정로2가,880.6442743335097,2
272,충정로3가,1045.048852845233,30
273,토정동,1865.9630201288435,11
274,통인동,496.015612294682,2
275,평동,2408.612437212299,13
276,평창동,804.3406023448551,38
277,풍납동,1599.4287582180057,145
278,필운동,1250.3349111369116,1
279,하계동,1169.6523255096317,291
280,하왕십리동,1635.8610505748816,224
281,하월곡동,1110.633010850793,303
282,하중동,1794.0291801082376,11
283,학동,1213.8473940196739,93
284,한강로1가,1668.6690270889662,19
285,한강로2가,1617.2091383133102,23
286,한강로3가,1607.3357273528939,39
287,한남동,2111.6933204647444,151
288,합동,1336.6066953849743,5
289,합정동,1299.0345554208868,32
290,항동,1014.4527601166585,49
291,행당동,1683.3284698339785,282
292,행촌동,615.289924408394,9
293,현동1가,1315.536203375317,33
294,현동2가,896.7677121603697,9
295,현석동,2008.3633399361024,35
296,현저동,1389.100729855157,40
297,홍은동,921.095776736229,255
298,홍익동,1081.4431630528413,2
299,홍제동,1159.5980913861322,330
300,홍파동,2281.70338799574,29
301,화곡동,897.8069738589736,592
302,화동,1456.3192661553228,18
303,화양동,971.122593171329,53
304,회기동,1112.901411121025,37
305,효제동,1418.7464191970068,32
306,효창동,1955.0741371159513,49
307,후암동,997.4635402033243,15
308,휘경동,1125.1712008203917,181
309,흑석동,1945.2283391761298,140
